date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:53:53	52796/52796	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2014:55:19%20GMT	https://demo.dashboardpack.com/admindek-html/default/dashboard-crm.html	C:/laragon/www/dashboard/demo.dashboardpack.com/admindek-html/default/dashboard-crm.html	(from )
13:53:53	243/243	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20May%202024%2005:53:53%20GMT	https://demo.dashboardpack.com/robots.txt		(from )
13:53:53	232803/232803	---MCZ	200	added ('OK')	text/css	etag:W/%2265e5ea53-38d63%22	https://demo.dashboardpack.com/admindek-html/files/bower_components/bootstrap/css/bootstrap.min.css	C:/laragon/www/dashboard/demo.dashboardpack.com/admindek-html/files/bower_components/bootstrap/css/bootstrap.min.css	(from https://demo.dashboardpack.com/admindek-html/default/dashboard-crm.html)
13:53:53	4825/4825	---MCZ	200	added ('OK')	text/css	etag:W/%2265e5ea2d-12d9%22	https://demo.dashboardpack.com/admindek-html/files/assets/pages/waves/css/waves.min.css	C:/laragon/www/dashboard/demo.dashboardpack.com/admindek-html/files/assets/pages/waves/css/waves.min.css	(from https://demo.dashboardpack.com/admindek-html/default/dashboard-crm.html)
13:53:53	9786/9786	---MCZ	200	added ('OK')	text/css	etag:W/%2265e5e712-2e1d%22	https://demo.dashboardpack.com/admindek-html/files/assets/icon/feather/css/feather.css	C:/laragon/www/dashboard/demo.dashboardpack.com/admindek-html/files/assets/icon/feather/css/feather.css	(from https://demo.dashboardpack.com/admindek-html/default/dashboard-crm.html)
13:53:54	34680/34680	---MCZ	200	added ('OK')	text/css	etag:W/%2265e5e709-8778%22	https://demo.dashboardpack.com/admindek-html/files/assets/css/font-awesome-n.min.css	C:/laragon/www/dashboard/demo.dashboardpack.com/admindek-html/files/assets/css/font-awesome-n.min.css	(from https://demo.dashboardpack.com/admindek-html/default/dashboard-crm.html)
13:53:54	11512/11512	---MCZ	200	added ('OK')	text/css	etag:W/%2265e5ea5c-2cf8%22	https://demo.dashboardpack.com/admindek-html/files/bower_components/chartist/css/chartist.css	C:/laragon/www/dashboard/demo.dashboardpack.com/admindek-html/files/bower_components/chartist/css/chartist.css	(from https://demo.dashboardpack.com/admindek-html/default/dashboard-crm.html)
13:53:54	315236/315236	---MCZ	200	added ('OK')	text/css	etag:W/%2265e5e70b-4ed81%22	https://demo.dashboardpack.com/admindek-html/files/assets/css/style.css	C:/laragon/www/dashboard/demo.dashboardpack.com/admindek-html/files/assets/css/style.css	(from https://demo.dashboardpack.com/admindek-html/default/dashboard-crm.html)
13:53:54	17868/17868	---MCZ	200	added ('OK')	text/css	etag:W/%2265e5e70b-5e94%22	https://demo.dashboardpack.com/admindek-html/files/assets/css/widget.css	C:/laragon/www/dashboard/demo.dashboardpack.com/admindek-html/files/assets/css/widget.css	(from https://demo.dashboardpack.com/admindek-html/default/dashboard-crm.html)
13:53:55	51983/51983	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2014:55:31%20GMT	https://demo.dashboardpack.com/admindek-html/default/index.html	C:/laragon/www/dashboard/demo.dashboardpack.com/admindek-html/default/index.html	(from https://demo.dashboardpack.com/admindek-html/default/dashboard-crm.html)
